question|fortune
May I qualify for help from the U.S Department of Housing and Urban Development (HUD) to get affordable rental housing?|Signs point to yes
Do I need a statement of National Insurance I’ve paid in the UK to get these benefits?|It is certain
Am I eligible for Dad and Partner Pay?|Outlook not so good
Is my ITAHC valid?|As I see it, yes
Do I have to pay federal excise tax on this vehicle?|Yes
Should I use Turn2us?|As I see it, yes
Will my landlord may be asked to repay the money?|Without a doubt
Am I a eligible for this loan?|Better not tell you now
Does this program offer me opportunities?|My sources say no
Can I set end dated for deductions?|Better not tell you now
Does this child qualify for this benefit program?|Without a doubt
Can I receive payments for more than 75% of the incurred costs?|Very doubtful
Is my contract legally binding?|It is certain
Is this land eligible?|You may rely on it
Can I appoint a Child Support representative?|Yes
Can I get this Child Benefit?|Better not tell you now
Can I get an extra payment on top of my State Pension?|You may rely on it
Can the Conservation Reserve Program help me?|Yes
Do the loan terms meet my needs?|Without a doubt
Can my State Pension be reduced?|Without a doubt
Do I need a Home Office controlled drug licence to export this drug?|Very doubtful
Can I register?|Most likely
Could I be able to inherit an extra payment on top of my new State Pension?|Very doubtful
May I have to pay Capital Gains Tax when selling my property?|Reply hazy, try again
Should I apply for the SBA's disaster loan?|It is decidedly so
Will my spouse be able to inherit some or all of my top up?|Outlook good
Do I have to pay Income Tax on the lump sum?|Outlook not so good
Could tax relief provided by IRS apply to me?|Yes
Can I get discretionary housing payment?|Very doubtful
Can bankruptcy be an option for me?|Better not tell you now
Can I charge the standard rate for this good?|Yes
Do I need an Export Health Certificate (EHC)?|Yes
Do I need to pay a tax charge?|Better not tell you now
Can I apply for Working Tax Credit?|Better not tell you now
Do I get Winter Fuel Payment automatically?|It is decidedly so
Am I eligible for SBIC funding?|It is certain
Do I have level 10 authority?|Better not tell you now
Can I use Hoosier Healthwise?|Better not tell you now
Do I need an export licence for this medicine?|Without a doubt
Does benefit cap apply to me?|Better not tell you now
Am I eligible for the full basic State Pension?|My reply is no
Will I be charged a penalty?|Yes – definitely
Can I claim extra MBS items?|Yes – definitely
Can I grow my own plants?|My sources say no
Can I grow these marijuana plants?|Ask again later
Can I carry on claiming Carer’s Allowance if I go on holiday?|Reply hazy, try again
Can access patient information in the database?|My reply is no
Do I qualify for the Warm Home Discount Scheme?|My reply is no
May I be able to make a new claim?|Ask again later
Can I apply if I am getting this other funding?|My reply is no
Should I call the Translating and Interpreting Service?|Without a doubt
Do I have to pay Capital Gains Tax when I sell my home?|Without a doubt
Can the ACEP help me?|As I see it, yes
Does this insurance cover my need?|Ask again later
Does my kid need to ride in a federally-approved child safety seat?|Without a doubt
Do I have to cancel my registration?|Don’t count on it
Is this land eligible for wetland reserve easements?|Yes
Does this count as work?|My sources say no
Do I have to pay Income Tax at a higher rate?|Yes
Am I eligible for an annual lump sum payment ot help with the costs of caring for a person with disability?|Outlook good
Can I charge VAT on this item?|Better not tell you now
Will you be able to accept my claim?|Don’t count on it
Will I be paid this month?|Most likely
Can I be classed as an employer?|Without a doubt
Can I get a bigger Personal Allowance?|Outlook not so good
Can I possess this marijuana?|Better not tell you now
Can I get prosecuted for benefit fraud?|Most likely
Do I need a licence to export cultural goods?|Yes
Can I claim costs?|As I see it, yes
Do I qualify for MSP?|As I see it, yes
Can I face a financial penalty?|It is certain
Could I qualify for Letting Relief?|Better not tell you now
Is this savings option suitable for me?|Most likely
Can I file bankruptcy under Chapter 13?|Most likely
Does this country have social security agreements with the UK?|Cannot predict now
Can I  join the Annual Accounting Scheme?|My sources say no
Do I have to wear a helmet?|Reply hazy, try again
Should I read the Consumer Leasing Policy?|Yes – definitely
Could I be eligible for Shared Parental Leave?|Without a doubt
Will I need to change the PIN each time?|Very doubtful
Do I need to register for VAT with HM Revenue and Customs?|Cannot predict now
Do I need to update my rent certificate?|Very doubtful
Am I eligible for Relocation Scholarship?|My sources say no
Am I entitled to the minimum wage for my age?|Yes
Can I get the discount on my gas bill instead?|Without a doubt
Do I need to fill in a form?|Yes – definitely
Will my GP have access to my immunisation records?|Reply hazy, try again
Does this program meet my needs? Does this program apply to me?|Very doubtful
Does the amount I get depend on this?|Concentrate and ask again
May I be able to claim benefits?|Without a doubt
Am I eligible for the Youth Disability Supplement?|Reply hazy, try again
Do I need to pay tax?|As I see it, yes
Do I have to pay self-employment tax?|Concentrate and ask again
Can I charge VAT?|Ask again later
Can I join the scheme?|You may rely on it
Can Tax Credit Office ask me to provide my business plan?|It is decidedly so
Can I register online?|You may rely on it
Can I reclaim the difference from HMRC?|Most likely
Do I need an inspection?|My sources say no
Could I be eligible to apply?|Better not tell you now
Can I get charged a penalty?|Yes – definitely
Can I use Centrepay?|You may rely on it
Do I need to charge VAT?|My sources say no
Can I apply for unemployment benefits in Washington?|Yes
Does the CWVV fit my needs?|Reply hazy, try again
Do I qualify for this?|You may rely on it
Can I get urgent authorisation online?|Outlook not so good
Does this airport need an airport manager?|Yes – definitely
Does local housing allowance apply to me?|My sources say no
Can I get any State Pension?|Yes – definitely
Can Tax Credit Office ask me to provide evidence that I’ve promoted my business?|Yes
Is my child eligible for Head Start and Early Head Start?|It is decidedly so
Can my employer take money from my final pay?|Yes
Do I need to wear a helmet?|Reply hazy, try again
Will my session time out?|My sources say no
Is SBA suitable for me?|Signs point to yes
Can I rejoin the scheme?|My sources say no
Does this country have benefits arrangements with the UK?|It is decidedly so
May I be eligible for Maternity Allowance?|Yes – definitely
Will suspending the deduction help to avoid an over payment?|Signs point to yes
Can I claim this amount?|My sources say no
Is it possible that I would have to pay the fund money back?|Signs point to yes
May I be an eligible Veteran?|Better not tell you now
Can I only pay tax on the gain I've made since 5 April?|Without a doubt
Could I be eligible to apply as a Immediate relative  of a U.S. citizen?|Without a doubt
Can I get the National Living Wage?|Better not tell you now
Can I have my own bedroom?|Most likely
Can I apply for the Low Income Health Care Card?|Better not tell you now
Can I export products made from this animal?|Outlook not so good
Am I eligible for Assistance for Isolated Children?|Outlook good
Could I receive my widowed parent's Additional State Pension again?|Without a doubt
Can this program help our institution?|Outlook not so good
Is the MREIDL program suitable for me?|Outlook not so good
Is this loan for me?|You may rely on it
Does the CDC/504 loan meet my needs?|Don’t count on it
Am I be able to carry on paying National Insurance?|Outlook good
Can I get a grant from federal government?|Yes – definitely
Can I display this sign?|My sources say no
Can I get Additional State Pension?|Better not tell you now
Is this benefit program suitable for me?|Very doubtful
Do I need to use my headlights now?|Better not tell you now
Can I appeal to the Social Security and Child Support Tribunal?|Very doubtful
Can I text behind the wheel?|Yes – definitely
Am I eligible to apply for EQIP?|Without a doubt
Am I eligible for paternity pay and leave?|Yes – definitely
Can I pay my bills through Centrepay?|Concentrate and ask again
Can I get up to £268 weekly for local housing allowance?|Better not tell you now
Do I need to pay security contributions instead of National Insurance?|Yes – definitely
Do I need to know if I have an assured tenancy?|My reply is no
Will the eACCR display?|Signs point to yes
Can I get housing benefit?|Most likely
Can I get JSA abroad?|As I see it, yes
Can the former Governor accept this desk and chair from the state?|Without a doubt
Can an EIDL help me?|You may rely on it
Do I qualify for this loan?|Reply hazy, try again
Could I be able to claim Married Couple’s Allowance.?|Concentrate and ask again
Can I charge 5% VAT for this?|Better not tell you now
Can I get paternity pay and leave?|Ask again later
Is it possible that I may have to pay tax in both countries?|Signs point to yes
Do I need to contact Debt Management Recovery From Estates?|Outlook good
Can I claim a Winter Fuel Payment?|Ask again later
Can I  talk to the Tax Credit Office?|Concentrate and ask again
Can I travel back to the United States without applying for a visa?|Without a doubt
Will the benefit cap limit the amount of my benefit?|Yes
Can I arrive in the UK now?|Reply hazy, try again
Can I claim Winter Fuel Payments?|Cannot predict now
Do I get a qualifying year?|Reply hazy, try again
Can I get a bursary if I am 19 or over?|Most likely
Can my spouse claim the extra State Pension?|Outlook not so good
Can I get a main payment?|My sources say no
Are we eligible partners?|My sources say no
Is my child eligible for VA-financed health care?|Without a doubt
Do I get a Winter Fuel Payment automatically?|Yes
Will I be subject to automatic revocation of my tax-exempt status?|Without a doubt
Can I start my claim?|As I see it, yes
Do I need to contact Acas?|Most likely
Do I need to pay UK tax on my pension?|Outlook not so good
Can I or a family member claim benefits?|Very doubtful
May I be able to get unemployment benefits in this country?|Outlook good
Is my State Pension protected?|Better not tell you now
Will a warning or rejection message be displayed?|Without a doubt
Do I have to leave the scheme?|Better not tell you now
Can I get the National Minimum Wage?|Don’t count on it
Does my child need to ride in an approved child safety seath?|Reply hazy, try again
Can I get Statutory Maternity Leave?|Don’t count on it
Am I eligible for Education Entry Payment?|Yes – definitely
Could I authorize the use of marijuana for this patient?|Better not tell you now
Do I need to prove my knowledge of English?|It is decidedly so
Can I upload the form?|You may rely on it
Can I apply for a Tier 4 (General) student visa now?|Yes
Can the rules be used in this case?|Better not tell you now
Can I get get Paternity Leave or pay?|Concentrate and ask again
Will I need my parents' income details?|Most likely
Is my marijuana cultivation considered cultivation for personal use under this chapter?|You may rely on it
Can I claim Medicare without visiting?|Outlook not so good
Am I required to do Medical examinations and vaccinations?|Cannot predict now
Do I have to pay Social Security and Medicare taxes for my spouse?|Without a doubt
Do I have to wear a seat belt?|Better not tell you now
Will I be able to get Child Tax Credit?|Most likely
Does this program provide debt financing?|My sources say no
Can my pension contributions stop?|Ask again later
Can I tell my bank to change my Direct Debit details now?|It is decidedly so
May I be able to zero-rate this medical equipment?|Reply hazy, try again
Am I eligible for paternity leave?|Ask again later
Am I an ordinarily resident?|Yes – definitely
Could my housing benefit be reduced?|Don’t count on it
Is my entitlement to benefits in the UK may be affected?|Better not tell you now
May I be able to claim Child Tax Credit?|Very doubtful
Does my property qualify?|My sources say no
Could I get tax credits?|My sources say no
Can I purchase this amount of marijuana?|Very doubtful
Do I have to contact the department?|Don’t count on it
Do I need a claim form?|Signs point to yes
Can I send the Tax Credit Office new information?|Without a doubt
Will I get any new State Pension?|Cannot predict now
Will tax credit be paid into my account?|Very doubtful
May I be able to claim tax credits?|Better not tell you now
Am I able to carry on paying National Insurance?|Better not tell you now
Is this a commercial airport?|Better not tell you now
Does an FSA loan meet my needs?|It is certain
Can I apply for a VET Student Loan?|Better not tell you now
Do I need to pay tax on my foreign income?|Yes – definitely
Is this a terminal medical condition?|Concentrate and ask again
Can I get Housing Benefit?|Most likely
Can I apply zero VAT to this item?|Ask again later
Do I have to have a refugee travel document to return to the United States?|Very doubtful
Do I need a certificate?|My sources say no
Am I eligible for HSD quantity and repeats as listed in the Schedule?|It is decidedly so
Do I qualify for SMP?|As I see it, yes
Do I need a new EIN for my business?|Don’t count on it
Can I leave my motor vehicle unattended?|Very doubtful
Am I eligible for the Student Start-up Loan?|Outlook not so good
Will my claim form arrive soon?|It is certain
Can I grow marijuana plants?|Yes – definitely
Is this item eligible?|You may rely on it
Do these limits apply to me?|Yes – definitely
Could I be eligible to apply for a Green Card?|Without a doubt
Do I need to provide a tenancy agreement or rent book?|You may rely on it
Can I make a call while behind the wheel of a vehicle?|You may rely on it
Am I allowed to have a spare bedroom?|Concentrate and ask again
Can I consume retail marijuana here?|Don’t count on it
Can I send my dispute form now?|It is certain
May I qualify for VA-guaranteed loans?|Outlook not so good
Should I seek more information about the social work services?|Cannot predict now
Can my estate claim up to 3 months of my basic State Pension?|Reply hazy, try again
Can I get ABSTUDY?|As I see it, yes
Can I claim now?|My reply is no
Should I talk to somebody about my mental health?|Without a doubt
Will my tax credit end?|Signs point to yes
Am I an employee?|Ask again later
Does my bike need to have a white front light visible up to 300 feet?|It is decidedly so
Can I withhold taxes on payments to this person?|Better not tell you now
Do I need to pay UK tax on foreign income or gains?|Outlook good
Do I need to turn on headlights now?|Don’t count on it
Does this room counted as spare?|Without a doubt
Am I eligible for support from the tuition assurance scheme?|Signs point to yes
Can this dispute be successful?|It is certain
Do Farm Ownernship Loans meet my needs?|Most likely
Do I get the Additional State Pension automatically?|Yes
Do I need information about this?|Cannot predict now
Should I use an independent benefits calculator for this?|It is decidedly so
Can I apply for Council Tax Reduction?|Outlook not so good
Can my tax credits stop?|My sources say no
Can I claim tax credits for a lot of clients?|Yes
Can I use a portable electronic device?|Most likely
Can I claim a refund?|As I see it, yes
Can I claim Medicare without calling?|Concentrate and ask again
Do I qualify for Statutory Maternity Leave?|It is decidedly so
Can I send form TC689 to the Tax Credit Office to get authorised?|Outlook not so good
Can I get payment in lieu?|Most likely
Do I have to have a designated provider?|Very doubtful
Will I get paid into my rent account?|Concentrate and ask again
Is my pharmacy eligible for payment?|Don’t count on it
Can I contact Citizens Advice?|Better not tell you now
Am I eligible for Austudy?|Most likely
